Region,Sector,Credit Type,Operation Type,Operation Status,Number of Operations,Log-Amount Granted
AMAZONÍA,Primary,Business,Credit,Novated,1,11.679979818864128
AMAZONÍA,Primary,Business,Credit,Restructured,1,12.352989452446405
AMAZONÍA,Primary,Corporate,Credit,Restructured,1,13.66690296845315
AMAZONÍA,Primary,SMEs,Contingent,Restructured,2,13.127286041188963
AMAZONÍA,Primary,SMEs,Credit,Novated,2,11.982929094215963
AMAZONÍA,Primary,SMEs,Credit,Restructured,1,11.976615832451033
AMAZONÍA,Tertiary,Microcredit,Credit,Restructured,1,9.141743493502219
AMAZONÍA,Tertiary,SMEs,Credit,Novated,2,12.901858267340787
AMAZONÍA,Tertiary,SMEs,Credit,Restructured,2,13.350815724094666
COSTA,Primary,Business,Credit,Novated,4,15.506424903642197
COSTA,Primary,Business,Credit,Refinanced,1,15.696458408482009
COSTA,Primary,Business,Credit,Restructured,9,15.732861419610913
COSTA,Primary,Corporate,Credit,Novated,6,16.226335049752542
COSTA,Primary,Corporate,Credit,Original,1,13.815510557964274
COSTA,Primary,Corporate,Credit,Refinanced,1,13.672933876926379
COSTA,Primary,Corporate,Credit,Restructured,5,16.861482169413748
COSTA,Primary,Corporate,Factoring,Original,2,9.477921772720961
COSTA,Primary,Microcredit,Credit,Novated,1,12.06654962461101
COSTA,Primary,Microcredit,Credit,Restructured,3,13.005401716827059
COSTA,Primary,SMEs,Contingent,Restructured,1,13.67086090014529
COSTA,Primary,SMEs,Credit,Novated,6,13.433697701946926
COSTA,Primary,SMEs,Credit,Original,2,12.050961271050214
COSTA,Primary,SMEs,Credit,Refinanced,1,12.612774854779742
COSTA,Primary,SMEs,Credit,Restructured,16,15.469963686025803
COSTA,Quaternary,Corporate,Credit,Novated,3,14.80230033793836
COSTA,Quaternary,Corporate,Credit,Refinanced,1,13.171014389035353
COSTA,Quaternary,SMEs,Credit,Restructured,1,12.263514419219927
COSTA,Secondary,Business,Credit,Novated,8,15.141879238420195
COSTA,Secondary,Business,Credit,Refinanced,1,13.19359501830916
COSTA,Secondary,Business,Credit,Restructured,14,16.48111378734674
COSTA,Secondary,Corporate,Credit,Novated,23,17.519321600988363
COSTA,Secondary,Corporate,Credit,Original,2,13.190022025878143
COSTA,Secondary,Corporate,Credit,Refinanced,1,15.207710133931561
COSTA,Secondary,Corporate,Credit,Restructured,3,15.492067401288237
COSTA,Secondary,Corporate,Factoring,Original,11,11.575703061589882
COSTA,Secondary,Microcredit,Credit,Restructured,1,10.254579540739948
COSTA,Secondary,SMEs,Credit,Novated,3,13.581454139832747
COSTA,Secondary,SMEs,Credit,Refinanced,1,12.788273097670043
COSTA,Secondary,SMEs,Credit,Restructured,7,15.022895565099102
COSTA,Tertiary,Business,Credit,Novated,4,15.485723648410069
COSTA,Tertiary,Business,Credit,Refinanced,1,15.352316713333565
COSTA,Tertiary,Business,Credit,Restructured,12,15.381858789954185
COSTA,Tertiary,Corporate,Credit,Novated,4,14.310110270751359
COSTA,Tertiary,Corporate,Credit,Original,12,19.249232561518514
COSTA,Tertiary,Corporate,Credit,Refinanced,2,15.275375554934303
COSTA,Tertiary,Corporate,Credit,Restructured,2,13.630974611217605
COSTA,Tertiary,Microcredit,Contingent,Restructured,2,11.49162797492326
COSTA,Tertiary,Microcredit,Credit,Novated,6,12.33177309998885
COSTA,Tertiary,Microcredit,Credit,Restructured,27,13.890291650664379
COSTA,Tertiary,SMEs,Contingent,Restructured,2,12.340976283694967
COSTA,Tertiary,SMEs,Credit,Novated,3,13.661135051198666
COSTA,Tertiary,SMEs,Credit,Restructured,62,15.233502691805183
INSULAR,Primary,Business,Credit,Novated,9,16.183918698925442
INSULAR,Primary,Business,Credit,Original,2,13.304154793698638
INSULAR,Primary,Business,Credit,Restructured,5,15.471196214879932
INSULAR,Primary,Corporate,Credit,Novated,1,13.957510324975834
INSULAR,Primary,Corporate,Credit,Refinanced,1,14.968211141364822
INSULAR,Primary,Corporate,Credit,Restructured,3,15.759258678662578
INSULAR,Primary,Microcredit,Credit,Restructured,2,12.453765462575719
INSULAR,Primary,SMEs,Contingent,Restructured,1,12.611772192821991
INSULAR,Primary,SMEs,Credit,Novated,7,14.740898274517079
INSULAR,Primary,SMEs,Credit,Refinanced,1,10.892345427238817
INSULAR,Primary,SMEs,Credit,Restructured,9,15.200475080240324
INSULAR,Secondary,Business,Credit,Original,2,13.458835614025542
INSULAR,Secondary,Business,Credit,Restructured,3,15.181466559709179
INSULAR,Secondary,Corporate,Credit,Novated,6,15.111688727141056
INSULAR,Secondary,Corporate,Credit,Refinanced,2,17.131644852940624
INSULAR,Secondary,Corporate,Credit,Restructured,8,18.1554637787004
INSULAR,Secondary,SMEs,Credit,Restructured,3,14.099401370162676
INSULAR,Tertiary,Business,Credit,Novated,1,11.89858730978201
INSULAR,Tertiary,Business,Credit,Refinanced,1,13.900633083029073
INSULAR,Tertiary,Business,Credit,Restructured,4,14.926953786919723
INSULAR,Tertiary,Corporate,Credit,Novated,2,12.552724960302278
INSULAR,Tertiary,Corporate,Credit,Original,1,16.811242831518264
INSULAR,Tertiary,Corporate,Credit,Restructured,1,16.301692272844505
