n_mero_de_operaciones,log_monto,tipo_de_credito_productivo_corporativo,tipo_de_credito_productivo_empresarial,tipo_de_credito_productivo_pymes,tipo_de_operacion_credito,tipo_de_operacion_factoring,estado_de_la_operacion_original,estado_de_la_operacion_reestructurada,estado_de_la_operacion_refinanciada,provincia_loja,provincia_los_rios,provincia_manabi,provincia_otros,provincia_pichincha,provincia_santo_domingo_de_los_ts_chilas,sector_agricultura__ganader_a__silvicultura_y_pesca,sector_comercio_al_por_mayor_y_al_por_menor_reparaci_n_de_veh_culos_automotores_y_motocicletas,sector_construcci_n,sector_industrias_manufactureras,sector_otros,sector_transporte_y_almacenamiento,quarter_2022q2,quarter_2022q3,quarter_2022q4,quarter_2023q1,quarter_2023q2,quarter_2023q3,quarter_2023q4,quarter_2024q1,quarter_2024q2,quarter_2024q3,quarter_2024q4
11,11.575703061589882,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,12.816854032557593,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15.207710133931561,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11.056277845811497,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9.477921772720961,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13.122363377404328,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11.008265130026254,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13.218457250041189,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,12.784078915694721,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12.031719258385396,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14.055952678546394,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12.206072645530174,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
