Variable,coef,std err,t,P>|t|,[0.025],[0.975],exp(coef)
Intercept,   11.5845,    0.407,   28.441, 0.000,   10.784,   12.385,107419.8213113345
n\_mero\_de\_operaciones,    0.0346,    0.010,    3.545, 0.000,    0.015,    0.054,1.0352055437546346
tipo\_de\_credito\_productivo\_cor..,    2.4059,    0.219,   10.994, 0.000,    1.976,    2.836,11.088405357550988
tipo\_de\_credito\_productivo\_emp..,    1.3664,    0.201,    6.782, 0.000,    0.970,    1.762,3.92120890346552
tipo\_de\_credito\_productivo\_pym..,    0.3077,    0.162,    1.902, 0.058,   -0.010,    0.626,1.3602928398658907
tipo\_de\_operacion\_credito,   -0.0723,    0.232,   -0.312, 0.755,   -0.527,    0.383,0.9302517784121656
tipo\_de\_operacion\_factoring,   -2.7803,    0.538,   -5.168, 0.000,   -3.838,   -1.723,0.06201989861659878
estado\_de\_la\_operacion\_original,   -1.1396,    0.284,   -4.018, 0.000,   -1.697,   -0.582,0.3199469750139639
estado\_de\_la\_operacion\_reestru..,    0.0516,    0.120,    0.431, 0.667,   -0.184,    0.287,1.052954476475184
estado\_de\_la\_operacion\_refinan..,    0.2580,    0.232,    1.112, 0.267,   -0.198,    0.714,1.2943388186242377
provincia\_loja,   -0.1623,    0.208,   -0.780, 0.436,   -0.571,    0.247,0.8501861104448984
provincia\_los\_rios,    0.1603,    0.224,    0.715, 0.475,   -0.281,    0.601,1.1738629770663782
provincia\_manabi,    0.4559,    0.176,    2.590, 0.010,    0.110,    0.802,1.57759257762049
provincia\_otros,    0.1081,    0.144,    0.752, 0.452,   -0.174,    0.390,1.1141591557314305
provincia\_pichincha,    0.2777,    0.160,    1.739, 0.083,   -0.036,    0.592,1.3200901107658698
provincia\_santo\_domingo\_de\_los..,    0.1389,    0.240,    0.579, 0.563,   -0.333,    0.611,1.1490091933390336
sector\_agricultura\_\_ganader\_a\_..,    0.4424,    0.175,    2.533, 0.012,    0.099,    0.786,1.5564381912121374
sector\_comercio\_al\_por\_mayor\_y..,    0.1506,    0.418,    0.360, 0.719,   -0.672,    0.973,1.162531552445916
sector\_construcci\_n,    0.7114,    0.214,    3.331, 0.001,    0.292,    1.131,2.0368408406508274
sector\_industrias\_manufacturer..,    0.5234,    0.199,    2.631, 0.009,    0.132,    0.915,1.6877562768554522
sector\_otros,   -0.0536,    0.258,   -0.208, 0.836,   -0.561,    0.454,0.9478111551490744
sector\_transporte\_y\_almacenami..,   -1.3119,    0.192,   -6.832, 0.000,   -1.689,   -0.934,0.26930788499445485
quarter\_2022q2,    0.1135,    0.265,    0.427, 0.669,   -0.408,    0.635,1.1201918888923805
quarter\_2022q3,   -0.2207,    0.273,   -0.809, 0.419,   -0.757,    0.315,0.801957231375141
quarter\_2022q4,   -0.1159,    0.268,   -0.432, 0.666,   -0.643,    0.412,0.8905642752723268
quarter\_2023q1,    0.1456,    0.303,    0.481, 0.631,   -0.449,    0.740,1.1567334021389288
quarter\_2023q2,   -0.3988,    0.309,   -1.291, 0.198,   -1.006,    0.209,0.6711249129144253
quarter\_2023q3,   -0.2743,    0.319,   -0.859, 0.391,   -0.902,    0.354,0.760104009849826
quarter\_2023q4,   -0.1858,    0.314,   -0.591, 0.555,   -0.804,    0.432,0.8304396663075081
quarter\_2024q1,   -0.3634,    0.408,   -0.891, 0.374,   -1.165,    0.438,0.6953082545651913
quarter\_2024q2,    0.0289,    0.314,    0.092, 0.927,   -0.587,    0.645,1.0293216571626347
quarter\_2024q3,    0.0859,    0.302,    0.284, 0.776,   -0.508,    0.680,1.0896973531211482
quarter\_2024q4,    0.1773,    0.290,    0.611, 0.541,   -0.393,    0.748,1.193989236173848
